pr_id,o_id,o_it_id,pur_ts,del_date,es_del_date,ship_lim_date,status,cat,price,fr_val,pay_val,pay_typ,pay_seq,pay_inst,con_zip,rev_cr_date,rev_an_date,rs,sel_id,sel_zip,state,city,lat,lng
4244733e06e7ecb4970a6e2683c13e61,00010242fe8c5a6d1ba2dd792cb16214,1,"2017-09-13 10:59:02","2017-09-21 01:43:48","2017-09-29 02:00:00","2017-09-19 11:45:35",delivered,cool_stuff,58.9,13.29,72.19,credit_card,1,2,28013,"2017-09-21 02:00:00","2017-09-22 12:57:03",5,48436dade18ac8b2bce089ec2a041202,27277,RJ,"volta redonda",-22.4970,-44.1275
e5f2d52b802189ee658865ca93d83a8f,00018f77f2f0320c557190d7a144bdd3,1,"2017-04-26 12:53:06","2017-05-12 18:04:24","2017-05-15 02:00:00","2017-05-03 13:05:13",delivered,pet_shop,239.9,19.93,259.83,credit_card,1,3,15775,"2017-05-13 02:00:00","2017-05-15 13:34:13",4,dd7ddc04e1b6c2c614352b383efe2d36,3471,SP,"sao paulo",-23.5651,-46.5186
c777355d18b72b67abbeef9df44fd0fd,000229ec398224ef6ca0657da4fc703e,1,"2018-01-14 15:33:31","2018-01-22 14:19:16","2018-02-05 01:00:00","2018-01-18 15:48:30",delivered,furniture_decor,199,17.87,216.87,credit_card,1,5,35661,"2018-01-23 01:00:00","2018-01-23 17:06:31",5,5b51032eddd242adc84c38acab88f23d,37564,MG,"borda da mata",-22.2626,-46.1711
7634da152a4610f1595efa32f14722fc,00024acbcdf0a6daa1e931b038114c75,1,"2018-08-08 12:00:35","2018-08-14 15:32:39","2018-08-20 02:00:00","2018-08-15 12:10:18",delivered,perfumery,12.99,12.79,25.78,credit_card,1,2,12952,"2018-08-15 02:00:00","2018-08-15 18:39:01",4,9d7a1d34a5052409006425275ba1c2b4,14403,SP,franca,-20.5536,-47.3874
ac6c3623068f30de03045865e4e10089,00042b26cf59d7ce69dfabb4e55b4fd9,1,"2017-02-04 14:57:51","2017-03-01 17:42:31","2017-03-17 01:00:00","2017-02-13 14:57:51",delivered,garden_tools,199.9,18.14,218.04,credit_card,1,3,13226,"2017-03-02 01:00:00","2017-03-03 11:54:59",5,df560393f3a51e74553ab94004ba5c87,87900,PR,loanda,-22.9294,-53.1359
ef92defde845ab8450f9d70c526ef70f,00048cc3ae777c65dbb7d2a0634bc1ea,1,"2017-05-15 23:42:34","2017-05-22 15:44:35","2017-06-06 02:00:00","2017-05-23 05:55:27",delivered,housewares,21.9,12.69,34.59,boleto,1,1,38017,"2017-05-23 02:00:00","2017-05-24 21:00:09",4,6426d21aca402a131fc0a5d0960a3c90,14091,SP,"ribeirao preto",-21.1901,-47.7879
8d4f2bb7e93e6710a28f34fa83ee7d28,00054e8431b9d7675808bcb819fb4a32,1,"2017-12-10 12:53:48","2017-12-18 23:03:38","2018-01-04 01:00:00","2017-12-14 13:10:31",delivered,telephony,19.9,11.85,31.75,credit_card,1,1,16700,"2017-12-19 01:00:00","2017-12-29 03:40:12",4,7040e82f899a04d1b434b795a43b4617,1026,SP,"são paulo",-23.5397,-46.6319
557d850972a7d6f792fd18ae1400d9b6,000576fe39319847cbb9d288c5617fa6,1,"2018-07-04 14:08:27","2018-07-09 16:04:07","2018-07-25 02:00:00","2018-07-10 14:30:45",delivered,garden_tools,810,70.75,880.75,credit_card,1,10,11702,"2018-07-10 02:00:00","2018-07-11 22:14:25",5,5996cddab893a4652a15592fb58ab8db,19010,SP,"presidente prudente",-22.1227,-51.3864
310ae3c140ff94b03219ad0adc3c778f,0005a1a1728c9d785b8e2b08b904576c,1,"2018-03-19 19:40:33","2018-03-29 20:17:31","2018-03-29 02:00:00","2018-03-26 20:31:29",delivered,health_beauty,145.95,11.65,157.6,credit_card,1,3,11075,"2018-03-30 02:00:00","2018-04-02 02:52:01",1,a416b6a846a11724393025641d4edd5e,3702,SP,"sao paulo",-23.5160,-46.5474
4535b0e1091c278dfd193e5a1d63b39f,0005f50442cb953dcd1d21e1fb923495,1,"2018-07-02 15:59:39","2018-07-04 19:28:31","2018-07-23 02:00:00","2018-07-06 16:10:56",delivered,books_technical,53.99,11.4,65.39,credit_card,1,1,6636,"2018-07-05 02:00:00","2018-07-06 01:17:04",4,ba143b05f0110f0dc71ad71b4466ce92,2274,SP,"sao paulo",-23.4671,-46.5879
d63c1011f49d98b976c352955b1c4bea,00061f2a7bc09da83e415a52dc8a4af1,1,"2018-03-24 23:16:10","2018-03-29 02:04:19","2018-04-09 02:00:00","2018-03-30 00:28:09",delivered,health_beauty,59.99,8.88,68.87,credit_card,1,3,13419,"2018-03-30 02:00:00","2018-03-30 06:04:56",5,cc419e0650a3c5ba77189a1882b7556a,9015,SP,"santo andre",-23.6594,-46.5232
f177554ea93259a5b282f24e33f65ab6,00063b381e2406b52ad429470734ebd5,1,"2018-07-27 19:21:27","2018-08-07 15:56:52","2018-08-07 02:00:00","2018-07-31 19:30:39",delivered,fashion_bags_accessories,45,12.98,57.98,credit_card,1,5,15910,"2018-08-08 02:00:00","2018-08-09 02:12:30",5,8602a61d680a10a82cceeeda0d99ea3d,1001,SP,"sao paulo",-23.5502,-46.6340
99a4788cb24856965c36a24e339b6058,0006ec9db01a64e59a68b2c340bf65a7,1,"2018-07-24 19:04:17","2018-07-31 03:04:15","2018-08-22 02:00:00","2018-07-26 19:24:20",delivered,bed_bath_table,74,23.32,97.32,credit_card,1,4,21810,"2018-07-31 02:00:00","2018-08-02 01:05:10",5,4a3ca9315b744ce9f8e9374361493884,14940,SP,ibitinga,-21.7573,-48.8297
368c6c730842d78016ad823897a372db,0008288aa423d2a3f00fcb17cd7d8719,1,"2018-02-13 23:10:21","2018-02-26 14:55:22","2018-03-06 01:00:00","2018-02-21 03:55:52",delivered,garden_tools,49.9,13.37,126.54,boleto,1,1,6600,"2018-02-27 01:00:00","2018-03-02 11:20:40",5,1f50f920176fa81dab994f9023523100,15025,SP,"sao jose do rio preto",-20.8067,-49.3892
368c6c730842d78016ad823897a372db,0008288aa423d2a3f00fcb17cd7d8719,2,"2018-02-13 23:10:21","2018-02-26 14:55:22","2018-03-06 01:00:00","2018-02-21 03:55:52",delivered,garden_tools,49.9,13.37,126.54,boleto,1,1,6600,"2018-02-27 01:00:00","2018-03-02 11:20:40",5,1f50f920176fa81dab994f9023523100,15025,SP,"sao jose do rio preto",-20.8067,-49.3892
8cab8abac59158715e0d70a36c807415,0009792311464db532ff765bf7b182ae,1,"2018-08-14 22:43:09","2018-08-22 14:02:27","2018-08-28 02:00:00","2018-08-17 14:15:10",delivered,sports_leisure,99.9,27.65,127.55,boleto,1,1,37137,"2018-08-23 02:00:00","2018-08-23 18:11:56",5,530ec6109d11eaaf87999465c6afee01,85807,PR,cascavel,-24.9447,-53.4903
